app_name,category,rating,num_review
PAC-MAN Premium,Games,4.0,21292
Evernote - stay organized,Productivity,4.0,161065
"WeatherBug - Local Weather, Radar, Maps, Alerts",Weather,3.5,188583
"eBay: Best App to Buy, Sell, Save! Online Shopping",Shopping,4.0,262241
Bible,Reference,4.5,985920
Shanghai Mahjong,Games,4.0,8253
PayPal - Send and request money safely,Finance,4.0,119487
Pandora - Music & Radio,Music,4.0,1126879
PCalc - The Best Calculator,Utilities,4.5,1117
Ms. PAC-MAN,Games,4.0,7885
Solitaire by MobilityWare,Games,4.5,76720
SCRABBLE Premium,Games,3.5,105776
Google – Search made just for mobile,Utilities,3.5,479440
Bank of America - Mobile Banking,Finance,3.5,119773
FreeCell,Games,4.5,6340
TripAdvisor Hotels Flights Restaurants,Travel,4.0,56194
Facebook,Social Networking,3.5,2974676
"Yelp - Nearby Restaurants, Shopping & Services",Travel,4.0,223885
"Shazam - Discover music, artists, videos & lyrics",Music,4.0,402925
Crash Bandicoot Nitro Kart 3D,Games,4.0,31456
iQuran,Reference,4.5,2929
:) Sudoku +,Games,5.0,11447
"Yahoo Sports - Teams, Scores, News & Highlights",Sports,4.0,137951
Mileage Log | Fahrtenbuch,Business,4.5,8
Cleartune - Chromatic Tuner,Music,4.0,3241
Lifesum – Inspiring healthy lifestyle app,Health & Fitness,3.5,5795
Hangman.,Games,3.0,42316
iTranslate - Language Translator & Dictionary,Productivity,3.5,123215
TouchOSC,Music,4.0,782
RadarScope,Weather,4.0,3449
LinkedIn,Social Networking,3.5,71856
Period Tracker Deluxe,Health & Fitness,4.5,13350
Election 2016 Map,Entertainment,3.0,137
Blackjack by MobilityWare,Games,3.5,180087
White Noise,Health & Fitness,4.0,33426
iHeartRadio – Free Music & Radio Stations,Music,4.0,293228
Line Rider iRide™,Entertainment,3.5,21609
Deliveries: a package tracker,Utilities,4.0,4684
Hurricane Pro,Weather,4.5,2104
Fieldrunners,Games,4.0,41633
Juxtaposer,Photo & Video,4.5,3610
Deezer - Listen to your Favorite Music & Playlists,Music,3.0,4677
iStellar,Navigation,3.5,30
Sonos Controller,Music,4.5,48905
Avertinoo,Navigation,3.0,32
Google Earth,Travel,3.5,446185
iFart - The Original Fart Sounds App,Entertainment,3.0,21825
PAC-MAN,Games,3.0,508808
FOX Sports Mobile,Sports,3.0,57500
First Words Animals,Games,4.0,2576
WeatherPro,Weather,4.0,1572
HotSchedules,Business,3.0,3292
Star Walk - Find Stars And Planets in Sky Above,Education,4.5,8932
"The Weather Channel: Forecast, Radar & Alerts",Weather,3.5,495626
Big Day - Event Countdown,Lifestyle,3.0,812
12 Steps AA Companion - Alcoholics Anonymous,Lifestyle,3.5,1583
OpenTable - Restaurant Reservations,Food & Drink,4.5,113936
VLC Remote,Entertainment,4.0,2027
gFlashPro - Flashcards & Tests,Education,4.0,768
Lose It! – Weight Loss Program and Calorie Counter,Health & Fitness,4.0,373835
Target,Shopping,3.0,108131
Fish Tycoon,Games,3.5,18943
"Amazon App: shop, scan, compare, and read reviews",Shopping,3.5,126312
Touchgrind,Games,4.0,35735
ProPresenter Remote,Utilities,3.0,410
iReal Pro - Music Book & Play Along,Music,4.5,1390
NRJ Radio,Music,3.5,38
Chase Mobile℠,Finance,4.5,233270
大辞林,Reference,4.5,64
Allrecipes Dinner Spinner,Food & Drink,3.5,109349
新浪新闻-阅读最新时事热门头条资讯视频,News,3.5,2229
MotionX GPS,Navigation,3.5,14970
AccuWeather - Weather for Life,Weather,3.5,144214
"Mint: Personal Finance, Budget, Bills & Money",Finance,4.0,232940
ABC News - US & World News + Live Video,News,3.0,48407
Rowmote: Remote Control for Mac,Utilities,3.5,5531
Peekaboo Barn,Education,4.0,3393
Speedtest by Ookla,Utilities,3.5,65016
Pocket God,Entertainment,4.0,187529
Nike+ Training Club - Workouts & Fitness Plans,Health & Fitness,3.5,33969
Citi Mobile®,Finance,3.5,48822
Phase 10 Pro - Play Your Friends!,Games,4.5,59155
"Kindle – Read eBooks, Magazines & Textbooks",Book,3.5,252076
MASH,Games,4.0,4913
同花顺-炒股、股票,Finance,3.5,1744
Wedding Dash Deluxe,Games,4.5,16567
Beer Pong Game,Games,2.0,187315
Tempo - Metronome with Setlists,Music,4.5,4781
Skat,Games,4.5,94
Color Splash,Photo & Video,4.0,29554
Zombieville USA,Games,4.0,32988
Skype for iPhone,Social Networking,3.5,373519
Tumblr,Social Networking,4.0,334293
iSwap Faces,Photo & Video,3.5,2302
Match™ - #1 Dating App.,Social Networking,3.0,60659
Tozzle - Toddler's favorite puzzle,Games,4.0,2562
HomeBudget with Sync,Finance,3.5,3042
Wind Meter,Weather,2.5,338
